rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P53100018646,Samarth Chandresh Apt,samarth associates,Miraj,Sangli,416416,MAHARASHTRA,2018-11-22,maharera
P53100018659,ASCON RESIDENCY,ASCON INFRA,Miraj,Sangli,416416,MAHARASHTRA,2018-11-22,maharera
P52100018572,ELITE ESTATE BUILDING B AND C PHASE I,MULIK ASSOCAITES,Shirur,Pune,411014,MAHARASHTRA,2018-11-13,maharera
P52100018602,KUNJBAN PHASE 1B BUILDING,SRI SRI DEVELOPERS,Haveli,Pune,412101,MAHARASHTRA,2020-10-13,maharera
P52100018568,RAMTIRTH,VASUDHA CONSTRUCTION,Haveli,Pune,411033,MAHARASHTRA,2018-11-13,maharera
P53100018455,MADANAI HEIGHTS,SHREEVARDHAN DEVELOPERS,Miraj,Sangli,416410,MAHARASHTRA,2021-09-08,maharera
P52100018839,Mangal Vishwa - Phase 2,G.T.DEVELOPERS,Haveli,Pune,412101,MAHARASHTRA,2023-01-30,maharera
P52100018808,SHRI APARTMENT,ASCON DEVELOPERS,Mawal,Pune,410507,MAHARASHTRA,2018-12-05,maharera
P52100018530,MANTRA ESSENCE PHASE 4,MANTRA GREENS PRIVATE LIMITED,Haveli,Pune,411060,MAHARASHTRA,2022-01-15,maharera
P52100018556,NIRVANA,ARNAV BUILDERS,Pune City,Pune,411031,MAHARASHTRA,2022-12-07,maharera
P52100018478,krushnakunj,kiran maruti dhore,Mawal,Pune,410506,MAHARASHTRA,2018-11-05,maharera
P52100018548,KOHINOOR JEEVA,RISING ASSOCIATES,Pune City,Pune,411037,MAHARASHTRA,2024-03-23,maharera
P53000019213,Green Heaven,Mirajkar Nichite Builders & Developers Pvt. Ltd.,Karvir,Kolhapur,416012,MAHARASHTRA,2019-01-14,maharera
P52100018736,PUSHPAK A WING,KHUSHI ENTERPRISES,Haveli,Pune,412105,MAHARASHTRA,2021-10-21,maharera
P52100018467,"Padmavati Hills - A, D, H",Suyog City Developers,Mulshi,Pune,411021,MAHARASHTRA,2018-11-02,maharera
P52100018898,GINI BELVISTA - PHASE I,Gini Citicorp Realty LLP,Haveli,Pune,411015,MAHARASHTRA,2018-12-11,maharera
P52100019500,RUNAL GATEWAY PHASE - II,Rajendra Suresh Jain,Haveli,Pune,412101,MAHARASHTRA,2019-02-06,maharera
P52100018614,SHUBH SHAGUN,SHUBH HOUSING,Haveli,Pune,411014,MAHARASHTRA,2019-02-01,maharera
P52100019093,K52 Building A,M/S Shri Sairaj Associates,Pune City,Pune,411052,MAHARASHTRA,2019-01-04,maharera
P52100018643,NYATI ELYSIA II,NITIN DWARKADAS NYATI,Haveli,Pune,411014,MAHARASHTRA,2019-02-01,maharera
P52100018617,NOTTING HILL PHASE II,PARADISE REALTY,Haveli,Pune,411048,MAHARASHTRA,2021-09-09,maharera
P52100018585,RIGVED,M/S RIGVED LIFESPACES,Haveli,Pune,411045,MAHARASHTRA,2018-11-21,maharera
P53000018497,NILKANTH APARTMENT,Mayuresh Rajvardhan Builders and Developers,Karvir,Kolhapur,416001,MAHARASHTRA,2018-11-12,maharera
P52100018700,ROYAL EXOTICA PHASE I,SVG Builders LLP,Haveli,Pune,411048,MAHARASHTRA,2021-09-08,maharera
P52100018493,AADRIKA,DK Associates,Haveli,Pune,411051,MAHARASHTRA,2024-04-16,maharera
P52100018583,Bhuvi 2,Prashant Vitthal Nimhan,Mulshi,Pune,411027,MAHARASHTRA,2019-08-06,maharera
P52100018523,DHANLAXMI ICON,HARI OM DEVELOPERS,Haveli,Pune,411020,MAHARASHTRA,2018-11-12,maharera
P52100018522,K SQUARE,KSHIRSAGAR REALTY,Haveli,Pune,411045,MAHARASHTRA,2023-07-31,maharera
P52100018500,"Joyville Hinjawadi - I, Phase 5",Joyville Shapoorji Housing Private Limited,Mulshi,Pune,411057,MAHARASHTRA,2018-11-12,maharera
P52100018498,NOVA RESIDENCY,AMIT JUGALKISHOR RATHI,Mulshi,Pune,411033,MAHARASHTRA,2018-11-12,maharera
P52100018502,"Joyville Hinjawadi - I, Phase 6",Joyville Shapoorji Housing Private Limited,Mulshi,Pune,411057,MAHARASHTRA,2018-11-12,maharera
P52100018539,Life Republic Sector R16 - 16th Avenue Arezo,KOLTE-PATIL INTEGRATED TOWNSHIPS LIMITED,Mulshi,Pune,411057,MAHARASHTRA,2021-10-11,maharera
P52100018486,Green Hive Plus A13,Ram India Shelters,Haveli,Pune,412308,MAHARASHTRA,2018-11-12,maharera
P52700018562,SUNRISE,SUNRISE BUILDER AND DEVELOPERS,Satara,Satara,415002,MAHARASHTRA,2018-11-13,maharera
P52100018596,ATELIER GREENS,ESTEEM CONSTRUCTIONS PRIVATE LIMITED (ADANI GROUP),Pune City,Pune,411036,MAHARASHTRA,2025-07-09,maharera
P52100018708,Green Hive Plus A1,Ram India Shelters,Haveli,Pune,412308,MAHARASHTRA,2018-11-27,maharera
P52100018604,RUTUPARNA,S. S. Developers,Haveli,Pune,412105,MAHARASHTRA,2025-04-17,maharera
P52100018768,Sidhhivinayak Residency,Indentity Landmark,Mulshi,Pune,411045,MAHARASHTRA,2021-09-09,maharera
P52100018550,Manek Regency,B. U. Bhandari Landmarks,Pune City,Pune,411002,MAHARASHTRA,2025-09-03,maharera
P52100018597,DESHMUKH ARCADE,JAY DESHMUKH CONSTRUCTION,Baramati,Pune,413102,MAHARASHTRA,2025-02-25,maharera
P52700018770,SHUBHASHREE PRASAD,SHUBHASHREE INFRASTRUCTURE,Karad,Satara,415110,MAHARASHTRA,2018-12-04,maharera
P52100018538,SIDDHI ANAND RESIDENCY,ANAND CONTRACTORS AND DEVELOPERS,Indapur,Pune,413106,MAHARASHTRA,2018-11-13,maharera
P52100018859,Misty Winds 1,Planet I Developers,Mawal,Pune,410405,MAHARASHTRA,2022-11-17,maharera
P52100018819,Misty Winds 2,Planet I Developers,Mawal,Pune,410405,MAHARASHTRA,2024-01-19,maharera
P52100018577,Krishna Heights,Narayan Dharmaji Bodke,Haveli,Pune,411058,MAHARASHTRA,2021-11-11,maharera
P52100018741,PARK LANDMARK PHASE II,Pride Purple Landmark LLP,Pune City,Pune,411037,MAHARASHTRA,2018-11-29,maharera
P52100018658,PARK EXPRESS PHASE III,PARK EXPRESS JOINT VENTURE,Pune City,Pune,411045,MAHARASHTRA,2018-11-22,maharera
P52100018565,Fortuna,Ketan  Ruikar,Haveli,Pune,411021,MAHARASHTRA,2018-11-13,maharera
P52100018555,URBAN SOLITAIRE,URBAN REALTY,Haveli,Pune,411002,MAHARASHTRA,2023-06-23,maharera
P52100018848,Sai Paradise,SJ Construction,Daund,Pune,413801,MAHARASHTRA,2025-05-02,maharera
P53000018576,LAXMI VISHNU RESIDENCY,LAXMI VISHNU URBAN DEVELOPERS LLP,Hatkanangle,Kolhapur,416115,MAHARASHTRA,2025-07-14,maharera
P52100022293,Shree Laxmi Enclave,Shree Venkatesh Associates,Haveli,Pune,411028,MAHARASHTRA,2021-02-11,maharera
P52100018636,Espree Eminence,Espree Realtors,Haveli,Pune,411014,MAHARASHTRA,2021-06-26,maharera
P52100019423,VEERMATI APPARTMENT,DIVYAYASHA BUILDERS PROMOTERS AND DEVELOPERS,Mawal,Pune,410401,MAHARASHTRA,2019-01-29,maharera
P52100018627,SHREE SADGURU AUDUMBAR,SUNIL BAPUSAHEB SHINDE,Pune City,Pune,411011,MAHARASHTRA,2018-11-22,maharera
P52100018994,AUSTIN VALLABH,AUSTIN REAL INFRA LLP,Haveli,Pune,411034,MAHARASHTRA,2018-12-28,maharera
P53000018660,SILVER DREAM C,REJOICE BUILDOCN,Hatkanangle,Kolhapur,416112,MAHARASHTRA,2018-11-22,maharera
P52100018580,One Place - F C Road,PALASH REALTORS LLP,Pune City,Pune,411005,MAHARASHTRA,2026-05-11,maharera
P52100019796,tradeparkb,VTP Mohite Associates,Haveli,Pune,411060,MAHARASHTRA,2025-08-22,maharera
P52100020878,BLUE EMPIRE,BLUEBERRY DEVELOPERS,Mawal,Pune,410506,MAHARASHTRA,2019-05-15,maharera
P53000018735,SANJAY BALGOUNDA PATIL,SANJAY BALGOUNDA PATIL,Hatkanangle,Kolhapur,416115,MAHARASHTRA,2021-09-09,maharera
P52100021293,Shreyas Crest,Shreyas Shelters,Haveli,Pune,411045,MAHARASHTRA,2019-06-21,maharera
P52100019247,NEELKANTH APARTMENT,NAMAN DEVELOPERS,Baramati,Pune,413102,MAHARASHTRA,2019-01-14,maharera
P52100018655,ARUN AION,celesta developers,Haveli,Pune,412101,MAHARASHTRA,2021-05-14,maharera
P52100019089,Legacy Crest,Legacy Homes,Mulshi,Pune,411033,MAHARASHTRA,2019-01-04,maharera
P52100019023,Trident Commercial and MHADA,PARANJAPE SCHEMES (CONSTRUCTION) LTD,Mulshi,Pune,411057,MAHARASHTRA,2018-12-28,maharera
P52100021473,Chambers 63,Patel Oswal Housing,Pune City,Pune,411005,MAHARASHTRA,2024-06-05,maharera
P52100018846,SHRUTI APARTMENT A WING PHASE 1,RADHIKA SHRIKRISHNA HAVAL,Pune City,Pune,411045,MAHARASHTRA,2018-12-06,maharera
P53100018626,SUMANSHILP RESIDENCY,SATYAJIT GOVIND LELE,Miraj,Sangli,416410,MAHARASHTRA,2018-11-22,maharera
P52100018686,M SQUARE DREAMLAND,M SQUARE PROPERTIES,Haveli,Pune,411014,MAHARASHTRA,2018-11-27,maharera
P52700018766,VIGHNAHARTA RESIDENCY,SACHIN SHARADRAO DESHMUKH,Satara,Satara,415001,MAHARASHTRA,2018-12-04,maharera
P52100018849,PRABHU RESIDENCY,P W DEVELOPERS,Haveli,Pune,411015,MAHARASHTRA,2023-08-21,maharera
P52100018732,Olympiadorous Phase I,Neel Buildcon,Mawal,Pune,410301,MAHARASHTRA,2025-05-26,maharera
P52100022068,Vrundavan,WAGH AND BHOR GROUP,Junnar,Pune,412411,MAHARASHTRA,2019-08-25,maharera
P52700019028,NANDANVAN,SWAPNAPOORTI LANDMARKS,Wai,Satara,412803,MAHARASHTRA,2020-01-09,maharera
P52100018613,Arvind Elan,Yogita Shelters LLP,Haveli,Pune,411038,MAHARASHTRA,2024-01-15,maharera
P52100018875,Elina Phase 2,Trimurti Development Company,Mulshi,Pune,411021,MAHARASHTRA,2018-12-10,maharera
P52100018720,Godrej Rejuve,OXFORD REALTY LLP,Pune City,Pune,411036,MAHARASHTRA,2023-10-20,maharera
P52700018807,SUMANGAL PRIDE,SANDEEP SUDHAKAR KODGULE,Karad,Satara,415110,MAHARASHTRA,2022-06-27,maharera
P52100018678,Vithai Developers,M/s. Vithai Developers,Haveli,Pune,412105,MAHARASHTRA,2021-09-09,maharera
P52100018817,Nisarg Residency Wing B,SHREE DATTAKRUPABUILDERS AND DEVELOPERS,Baramati,Pune,413102,MAHARASHTRA,2018-12-05,maharera
P52100019109,THE VIBE,GAGAN TITANIUM SPACES LLP,Pune City,Pune,411001,MAHARASHTRA,2026-04-18,maharera
P52100018687,AMORAPOLIS B WING,KRISNA NIRMAAN SKYSCRAPER LLP,Haveli,Pune,411015,MAHARASHTRA,2018-11-27,maharera
P52100018864,AMORAPOLIS A WING,KRISNA NIRMAAN SKYSCRAPER LLP,Haveli,Pune,411015,MAHARASHTRA,2018-12-06,maharera
P52100018860,NYATI ENCHANTE III,NYATI BUILDERS PRIVATE LIMITED,Haveli,Pune,411014,MAHARASHTRA,2018-12-06,maharera
P52100018990,RAGHUNANDAN,MADKAR CONSTRUCTIONS PRIVATE LIMITED,Pune City,Pune,411030,MAHARASHTRA,2018-12-28,maharera
P52100018608,COSMOS RESIDENCY,COSMOS BUILDCON,Mawal,Pune,410401,MAHARASHTRA,2018-11-22,maharera
P52100018884,REGAL LAKE TOWN,REGAL DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2023-01-19,maharera
P52100018815,ANKUR PROJECTS,ANKUR PROJECTS,Baramati,Pune,413133,MAHARASHTRA,2018-12-05,maharera
P52100018973,SHARADA MYRIA B AND C BUILDING,SHARADA ERECTORS PRIVATE LIMITED,Haveli,Pune,411024,MAHARASHTRA,2021-09-09,maharera
P52100018785,SHIMMER N SHINE II,Sapphire Landmarks LLP,Pune City,Pune,411051,MAHARASHTRA,2023-01-19,maharera
P52100018779,Megapolis Saffron - A3 to A9,Pegasus Properties Pvt. Ltd.,Mulshi,Pune,411057,MAHARASHTRA,2022-08-25,maharera
P52100018833,HILL CREST,NISARG GROUP,Haveli,Pune,412101,MAHARASHTRA,2021-12-15,maharera
P52100019443,La Commercia,AUM HOUSING,Haveli,Pune,411045,MAHARASHTRA,2026-04-17,maharera
P52100018755,SHREE GANESHA,SWAROOP CONSTRUCTION,Mawal,Pune,410507,MAHARASHTRA,2018-11-30,maharera
P52100019739,Gagan Klara,Gagan Housing And Landmarks LLP,Haveli,Pune,411045,MAHARASHTRA,2025-05-21,maharera
P52100019754,SHRIRAM PRIDE BUILDING,SUBODH SURESHRAO JADHAV,Pune City,Pune,411014,MAHARASHTRA,2019-03-05,maharera
P52100018865,NEETI PRIVILEGE,NEETI SHELTERS LLP,Mulshi,Pune,411057,MAHARASHTRA,2020-11-18,maharera
P52100018951,Sudatta Sankul - B Building,BMB Construction Company,Pune City,Pune,411051,MAHARASHTRA,2020-02-13,maharera
P52100019470,Prakash Gateway,Shreyas Ashokkumar Pagariya,Haveli,Pune,412105,MAHARASHTRA,2019-02-01,maharera
P52100019046,GANGA ARIA A,GOEL GANGA SPACE LLP,Haveli,Pune,411015,MAHARASHTRA,2021-01-27,maharera
P52100018996,Tuscan Parkland,TUSCAN REAL ESTATE PRIVATE LIMITED,Haveli,Pune,411014,MAHARASHTRA,2018-12-28,maharera
P52100018670,VISION BOULEVARD - Phase II,VISION HOME PROJECT,Haveli,Pune,411027,MAHARASHTRA,2021-09-09,maharera
P53100018823,Sai Suman,MAK Buildcon,Miraj,Sangli,416409,MAHARASHTRA,2018-12-06,maharera
P52100018950,VENKATESH GRAFFITI PHASE 5,SHREE VENKATESH BUILDCON PVT LTD,Pune City,Pune,411036,MAHARASHTRA,2018-12-17,maharera
P53000019325,AYODHYA PARK PHASE I,ASHOK RAMCHANDRA YAMGEKAR,Gadhinglaj,Kolhapur,416502,MAHARASHTRA,2019-01-23,maharera
P53000018982,S.B. HEIGHTS,SIDRA DEVELOPERS,Hatkanangle,Kolhapur,416115,MAHARASHTRA,2025-06-30,maharera
P52100018878,Akshay Anantam,Sneh Constructions,Mulshi,Pune,411057,MAHARASHTRA,2026-06-12,maharera
P52100018886,Aashritha Phase II,YOGVINDA PROMOTERS AND DEVELOPERS PVT LTD,Haveli,Pune,411062,MAHARASHTRA,2022-09-10,maharera
P52100018752,ALANKAPURISHREE CO.OP.HSG.SOC.LTD.,VYAS BUILDCON PVT. LTD.,Haveli,Pune,411038,MAHARASHTRA,2018-11-30,maharera
P52100023292,Tirupati Campus Phase - VII,Venkatesh Constructions,Haveli,Pune,411015,MAHARASHTRA,2019-12-09,maharera
P52100019287,SIGNUM,PRIDE REALTY,Mulshi,Pune,411057,MAHARASHTRA,2019-01-21,maharera
P52100018794,MORYA ONE,SHREE CHINTAMANI CONSTRUCTION,Haveli,Pune,412201,MAHARASHTRA,2023-02-08,maharera
P52100019013,LomateResidency,Hemant Ramesh Lomte,Mawal,Pune,410506,MAHARASHTRA,2018-12-28,maharera
P52100018793,Optima 2.0,M/S. SOBA ASSOCIATES,Haveli,Pune,411041,MAHARASHTRA,2026-05-04,maharera
P52100018850,Citron Phase 2,Cherry Contruction Pvt. Ltd.,Haveli,Pune,412207,MAHARASHTRA,2018-12-06,maharera
P52100018758,AAKAR INDIGO,AAKAR REALTIES,Haveli,Pune,412105,MAHARASHTRA,2021-06-01,maharera
P52100019072,PRERANA,PANDIT JAVDEKAR ASSOCIATES,Pune City,Pune,411007,MAHARASHTRA,2018-12-28,maharera
P52100019038,VANALIKA - PARADISE - PHASE - III-3A,M/S. AVIOR MAJESTIQUE PROPERTIES,Mulshi,Pune,412108,MAHARASHTRA,2026-06-08,maharera
P52100019122,DIGAMBAR HEIGHTS,Maruti Shivaji Kalbhor,Haveli,Pune,412114,MAHARASHTRA,2019-01-04,maharera
P52100019318,Snehangan Residency A and B Wing,Damji Vasta Makhwana,Mulshi,Pune,411057,MAHARASHTRA,2019-01-23,maharera
P52100018894,SAI KAMAL,ACE DEVELOPER,Haveli,Pune,412101,MAHARASHTRA,2018-12-11,maharera
P52700018856,SHREE LAXMI RESIDENCY,DESAI AND PATIL BUILDERS AND DEVELOPERS,Karad,Satara,415124,MAHARASHTRA,2018-12-06,maharera
P52100018943,Parimal,Lagoo Apte Developers,Pune City,Pune,411005,MAHARASHTRA,2018-12-17,maharera
P52100018830,NANDADEEP BUILDING B,SRI SRI DEVELOPERS,Haveli,Pune,412105,MAHARASHTRA,2019-07-18,maharera
P52100018924,"CONSTOF 340HIG,595MIG,24OFFICES,28SHOPS AT PIMPARIGAON ON SNO309PART CTS NO 717,718,720PART ONPLOT A",Pune Housing and Area Development Board Pune,Haveli,Pune,411017,MAHARASHTRA,2018-12-17,maharera
P52100019202,Kiarah Terrazo phase -II,Wellwisher Apartment,Haveli,Pune,411013,MAHARASHTRA,2019-01-09,maharera
P52100018777,46 Banyan Tree - I,Chankhed Properties LLP,Mawal,Pune,410506,MAHARASHTRA,2019-12-12,maharera
P52100019280,EURISKA BUILDING C,EISHA ASSET DEVELOPERS PHASE II,Haveli,Pune,411060,MAHARASHTRA,2019-01-15,maharera
P52100018814,ROYALPARK,BANKAR DUGANE ASSOCIATES,Junnar,Pune,410504,MAHARASHTRA,2021-10-01,maharera
P52100018881,Vikas Phase 1,M/S CHORDIYA REALTY,Haveli,Pune,412105,MAHARASHTRA,2018-12-10,maharera
P52100019495,Rose Gardenia,Rose Dream Developers,Khed,Pune,412101,MAHARASHTRA,2025-04-23,maharera
P52700018956,Saikrupa Residency,Saikrupa Residency,Phaltan,Satara,415523,MAHARASHTRA,2018-12-17,maharera
P52100020690,Mont Vert Grande Plot 4 Bldg D,Niraj Kumar Associates Pvt Ltd,Haveli,Pune,411021,MAHARASHTRA,2022-08-22,maharera
P52100018764,ROHAN PRATHAMA,Rohan Housing Pvt Ltd,Mulshi,Pune,411057,MAHARASHTRA,2022-05-17,maharera
P52600018879,SANSKRUTI TOWER,RUGVED CONSTRUCTION CO,Solapur North,Solapur,413007,MAHARASHTRA,2018-12-10,maharera
P52100019177,AAIJI DHAM BUILDING B,AAIJI DEVELOPERS,Pune City,Pune,411047,MAHARASHTRA,2019-01-09,maharera
P52100021607,AAIJI DHAM BUILDING A,AAIJI DEVELOPERS,Pune City,Pune,411047,MAHARASHTRA,2020-03-17,maharera
P53100018792,NASA CAPITAL,UTTAM NAGESH ARAGE,Miraj,Sangli,416416,MAHARASHTRA,2018-12-05,maharera
P52100018887,MANTRA RESIDENCY PHASE 05,MANTRA RESIDENCIES LLP,Khed,Pune,410501,MAHARASHTRA,2018-12-10,maharera
P52100018855,addressOne - Phase 5,Peninsula Land Limited,Mawal,Pune,412101,MAHARASHTRA,2024-02-05,maharera
P52100018788,addressOne - Phase 6,Peninsula Land Limited,Mawal,Pune,412101,MAHARASHTRA,2026-03-12,maharera
P52100019054,NIRVANA BEYOND B WING,DIAMOND NEXUS PROPERTIES,Mawal,Pune,412101,MAHARASHTRA,2018-12-28,maharera
P52100021513,Vikrant,Pate P Square Developers LLP,Pune City,Pune,411030,MAHARASHTRA,2023-08-28,maharera
P52100018902,MAJESTIQUE CITYVIEW,MAJESTIQUE CITYVIEW LLP,Haveli,Pune,411037,MAHARASHTRA,2021-02-06,maharera
P53100018975,Datta Digambar Apartment,Manish Bhaskar Danke,Miraj,Sangli,416415,MAHARASHTRA,2018-12-18,maharera
P52100019366,Westernhills D 5,High Seas Properties Private Limited,Mulshi,Pune,411021,MAHARASHTRA,2019-01-23,maharera
P52100019212,Bharat Sohanraj Rathod,Bharatkumar  Rathod,Haveli,Pune,412207,MAHARASHTRA,2019-01-14,maharera
P52700018979,siddhivinayak residency,rohit chandrakant lawand,Satara,Satara,415001,MAHARASHTRA,2018-12-18,maharera
P52100019083,Rajgad,S R K PRIME,Mulshi,Pune,411057,MAHARASHTRA,2021-11-19,maharera
P52100019151,SAI SAKSH,KRUSHNA DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2019-01-09,maharera
P52700019021,MANGALMURTI SKYLINE,Mangalmurti Infra,Karad,Satara,415124,MAHARASHTRA,2018-12-28,maharera
P52100019051,Tranquility Annexe A and B Wing Phase 1,K AND B ASSOCIATES,Haveli,Pune,412308,MAHARASHTRA,2018-12-28,maharera
P52100018989,Emerald City,Suresh kanchan & other 5,Haveli,Pune,412202,MAHARASHTRA,2018-12-28,maharera
P52100019156,Silver Crest Wing A and C,M/S Mahavir Realty,Haveli,Pune,412207,MAHARASHTRA,2019-01-09,maharera
P53100019119,VENKATESH RUDRA,ANANDKUMAR BABAN RAJMANE,Miraj,Sangli,416415,MAHARASHTRA,2019-01-04,maharera
P52100019127,LAGOM,H S ASSOCIATES,Mulshi,Pune,411057,MAHARASHTRA,2024-04-22,maharera
P53000018971,Riddhi Siddhi Apartment,Prasanna Yashwant Dinde,Hatkanangle,Kolhapur,416112,MAHARASHTRA,2018-12-17,maharera
P52100018901,MOUNT BRISA PHASE II,SIDDHANT REALTIES,Haveli,Pune,411048,MAHARASHTRA,2024-04-02,maharera
P52100019099,Athashri at Pebbles,Abhinav Rainbow Developers And Promoters LLP,Mulshi,Pune,411021,MAHARASHTRA,2019-01-04,maharera
P52100018932,JAI GANESH 24,SIDDHIVINAYAK KOHINOOR,Haveli,Pune,411039,MAHARASHTRA,2021-09-08,maharera
P53000018936,CREATIVE KRISHNA SANKUL,CREATIVE TRUNKEY PROJECTS PVT LTD,Gadhinglaj,Kolhapur,416502,MAHARASHTRA,2018-12-17,maharera
P52700019070,GALAXY HEIGHTS,VIKAS NARAYAN DEOKAR,Karad,Satara,415539,MAHARASHTRA,2024-11-29,maharera
P52100018913,PRISTINE PRONEXT,PRISTINE DEVELOPERS,Mulshi,Pune,411057,MAHARASHTRA,2020-03-02,maharera
P52700019015,SHRIRANG HEIGHTS,SHIVAJI SHRIPATI PAWAR,Satara,Satara,415004,MAHARASHTRA,2018-12-28,maharera
P52100019242,Jeevan Sankul,Brahmani Associates,Mawal,Pune,410507,MAHARASHTRA,2019-01-14,maharera
P52100018964,GANGA ORRION,GOEL EISHA DEVELOPERS,Pune City,Pune,411006,MAHARASHTRA,2023-01-12,maharera
P52100019074,Nakshatra,ANGAL & CO,Haveli,Pune,411021,MAHARASHTRA,2018-12-28,maharera
P52100019687,SAI MIRACLE,SAI DATTA DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2020-06-17,maharera
P52700020795,Swarajya Prime,M/S - SWARAJYA GROUP,Phaltan,Satara,415523,MAHARASHTRA,2023-08-28,maharera
P52100018962,SAI VILLA,SHIVLING VASANT JARE,Haveli,Pune,411062,MAHARASHTRA,2023-06-27,maharera
P52100019294,PANACHE PHASE IV,TRIMURTI SAI NATH INFRAS LLP,Haveli,Pune,411046,MAHARASHTRA,2019-01-21,maharera
P52100019901,One Shriaunsh,Shriaunsh Erectors Pvt. Ltd.,Mulshi,Pune,411033,MAHARASHTRA,2021-09-09,maharera
P52100018941,LIFE 360 PHASE 2,SMP NAMRATA ASSOCIATES,Haveli,Pune,411037,MAHARASHTRA,2018-12-17,maharera
P52100019375,Centralis Tower 4,Mahindra Lifespace Developers limited,Haveli,Pune,411018,MAHARASHTRA,2019-01-24,maharera
P52100019404,Vishnu krupa Apartment,Somnath Shivaji Gaikwad,Haveli,Pune,411015,MAHARASHTRA,2019-01-29,maharera
P52100019407,Centralis Tower 3,Mahindra Lifespace Developers limited,Haveli,Pune,411018,MAHARASHTRA,2019-01-29,maharera
P53100019114,SIDDHIVINAYAK NAGARI,LAGOOKANKANI DEVELOPERS,Miraj,Sangli,416416,MAHARASHTRA,2019-01-04,maharera
P52100019376,Moraya Heights,Moraya Developers,Mawal,Pune,412201,MAHARASHTRA,2025-03-27,maharera
P52100020004,Ganesh Vandan,Ganesh Developers & Company,Haveli,Pune,411043,MAHARASHTRA,2019-03-18,maharera
P52100019058,Shree Ganesh Park,Shree Ganesha Developers,Haveli,Pune,412201,MAHARASHTRA,2021-09-09,maharera
P52100025064,GALAXY PLAZA,RAOSAHEB DAGADU PAWAR,Haveli,Pune,411045,MAHARASHTRA,2020-03-18,maharera
P52100019251,R K IMPERIAL,R K IMPERIAL,Haveli,Pune,411046,MAHARASHTRA,2019-01-14,maharera
P52100019134,SHREEYANSH PARK,SHRIRAM DEVELOPERS,Haveli,Pune,411035,MAHARASHTRA,2026-04-07,maharera
P53100018992,SHIVPRIYA RESIDENCY,DEEPAK VASANTRAO SURYAWANSHI,Miraj,Sangli,416410,MAHARASHTRA,2018-12-28,maharera
P52100019012,Charudatta Aparments,JITU PROPERTIES & DEVELOPMENTS PVT LTD,Mawal,Pune,410401,MAHARASHTRA,2018-12-28,maharera
P52100019158,Rahul Residency,Siddh Construction and Developers,Haveli,Pune,411009,MAHARASHTRA,2021-09-09,maharera
P52100018926,AVDHOOT RESIDENCY,AVDHOOT CONSTRUCTIONS,Pune City,Pune,411060,MAHARASHTRA,2018-12-17,maharera
P52100019238,KUSHAL WALL STREET,Naman Developers,Pune City,Pune,411004,MAHARASHTRA,2025-05-26,maharera
P52100021346,NYATI EVARA II,NYATI BUILDERS PRIVATE LIMITED,Haveli,Pune,411060,MAHARASHTRA,2019-07-02,maharera
P52100019026,SWAPNA RATNA,JADHAV ASSOCIATES,Daund,Pune,413801,MAHARASHTRA,2018-12-28,maharera
P53100019073,INDOSHIVA PRIDE,INDOSHIVA CONSTRUCTION,Miraj,Sangli,416416,MAHARASHTRA,2018-12-28,maharera
P52100019160,Space Icon,Space Developers,Haveli,Pune,411048,MAHARASHTRA,2024-05-21,maharera
P52100019102,Aayush Business Square,Earnest and Shah Ventures,Mawal,Pune,410507,MAHARASHTRA,2019-01-04,maharera
P52100019354,Meghrajshree,RANJEKAR REALTY,Haveli,Pune,411038,MAHARASHTRA,2019-01-23,maharera
P52100019065,SPLENDID RADIANCE,Yashada Brothers,Mulshi,Pune,411057,MAHARASHTRA,2020-09-02,maharera
P52100019125,Janaji Empire,Ravindra Chiman Barathe,Haveli,Pune,411031,MAHARASHTRA,2019-01-04,maharera
P52100018998,KRUSHNA PARK C WING,ABDUL RAMEES  KUNNANAMPARTH,Pune City,Pune,411014,MAHARASHTRA,2018-12-28,maharera
P52100019123,Nakshatra Premier,NITU ASSOCIATE,Shirur,Pune,412210,MAHARASHTRA,2019-01-04,maharera
P53000019373,CAPITAL,Marudhar Builders,Karvir,Kolhapur,416008,MAHARASHTRA,2024-01-06,maharera
P52100019364,KalpaVruksha C,Vaichal Constructions Pvt Ltd,Mulshi,Pune,412108,MAHARASHTRA,2019-01-23,maharera
P53000019047,MERAAKI SKY,VAISHALI ASHOK MAGDUM,Hatkanangle,Kolhapur,416115,MAHARASHTRA,2018-12-28,maharera
P52100019406,Centralis Tower 1,Mahindra Lifespace Developers limited,Haveli,Pune,411018,MAHARASHTRA,2019-01-29,maharera
P52100019393,Centralis Tower 2,Mahindra Lifespace Developers limited,Haveli,Pune,411018,MAHARASHTRA,2019-01-29,maharera
P52100019022,VIVANTA LIFE VEDIKA PHASE 1,VIVANTA REALTY,Haveli,Pune,411027,MAHARASHTRA,2021-07-24,maharera
P52100019118,PRAGATI VRUNDAVAN,PRITHVI DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2022-11-17,maharera
P52100019263,ANNAPURNA COMPLEX,AARA INFRAPROJECTS,Mawal,Pune,410507,MAHARASHTRA,2019-01-15,maharera
