landmark_id,name,aliases,type,micro_market,latitude,longitude,importance,source
LM-048,Vashi Station,Vashi Railway Station,Railway Station,Navi Mumbai,19.07,72.99,80,seed
LM-027,Taj Mahal Palace,Taj Hotel; Taj Mahal Hotel,Hotel,South Mumbai Prime,18.922,72.833,77,seed
LM-007,Taj Lands End,Taj Landsend; Taj Lands End Bandra,Hotel,Bandra West,19.048,72.824,75,seed
LM-036,Juhu Circle,Juhu Circle,Junction,Juhu,19.089,72.829,75,seed
LM-038,ISKCON Temple Juhu,ISKCON Juhu; Hare Krishna Temple,Temple,Juhu,19.094,72.83,75,seed
LM-047,Seawoods Grand Central Mall,Seawoods Mall; Grand Central Mall,Mall,Navi Mumbai,19.025,73.01,75,seed
LM-049,Palm Beach Road,Palm Beach Rd,Road,Navi Mumbai,19.05,73.0,75,seed
LM-004,Bandra Fort,Castella de Aguada,Fort,Bandra West,19.0475,72.8265,70,seed
LM-045,Korum Mall,Korum Mall Thane,Mall,Thane West,19.195,72.975,70,seed
LM-046,Upvan Lake,Upvan Lake Thane; Upvan,Lake,Thane West,19.195,72.965,65,seed
