candidate_a_id,candidate_a_name,candidate_a_area,candidate_b_id,candidate_b_name,candidate_b_area,confidence_score,evidence,recommended_action,status
,Piramal Aarav,Byculla,,Piramal Aranya Arav,Byculla,88,~ Moderate name similarity 81%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Aranya,Byculla,,Piramal Arav,Byculla,88,~ Moderate name similarity 85%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Aranya Ahan,Byculla,,Piramal Aranya Arav,Byculla,88,~ Moderate name similarity 89%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Aranya Arav,Byculla,,Piramal Aranya Avyan,Byculla,88,~ Moderate name similarity 87%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Mahalaxmi Central,Mahalakshmi,,Piramal Mahalaxmi North,Mahalakshmi,88,~ Moderate name similarity 83%; ✓ Same area: Mahalakshmi; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Vaikunth Vairat,Thane West,,Piramal Vaikunth Vyan,Thane West,88,~ Moderate name similarity 86%; ✓ Same area: Thane West; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Raheja Classic,Andheri West,,Raheja Classique,Andheri West,88,~ Moderate name similarity 87%; ✓ Same area: Andheri West; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),flag,pending
,Raheja Vihar,Powai,,Raheja Vistas,Powai,88,~ Moderate name similarity 80%; ✓ Same area: Powai; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),flag,pending
,Raheja Empress,Prabhadevi,,Raheja Princess,Prabhadevi,88,~ Moderate name similarity 83%; ✓ Same area: Prabhadevi; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),flag,pending
,Rustomjee Season Annexe,BKC,,Rustomjee Seasons,BKC,88,~ Moderate name similarity 80%; ✓ Same area: BKC; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),flag,pending
,Rustomjee Cleon,Bandra East,,Rustomjee Seasons,Bandra East,88,~ Moderate name similarity 81%; ✓ Same area: Bandra East; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),flag,pending
,Rustomjee Erika,Bandra East,,Rustomjee Oriana,Bandra East,88,~ Moderate name similarity 84%; ✓ Same area: Bandra East; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),flag,pending
,Rustomjee Erika,Bandra East,,Rustomjee Prive,Bandra East,88,~ Moderate name similarity 80%; ✓ Same area: Bandra East; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),flag,pending
,Rustom,Prabhadevi,,Rustomjee Crown,Prabhadevi,88,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Sugee Sadan,Dadar West,,Sugee Shubhada,Dadar West,88,~ Moderate name similarity 80%; ✓ Same area: Dadar West; ✓ Same developer: Sugee Group; ✓ Same coordinates (0.0km apart),flag,pending
,Suntech City Avenue 2,Goregaon West,,Sunteck City Avenue,Goregaon West,88,✓ High name similarity 90%; ✓ Same area: Goregaon West; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Sunteck 4th Avenue,Goregaon West,,Sunteck City Avenue,Goregaon West,88,~ Moderate name similarity 86%; ✓ Same area: Goregaon West; ✓ Same developer: Sunteck Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Ekta Bhoomi Garden III,Borivali East,,Ekta Bhoomi Gardens,Borivali East,88,~ Moderate name similarity 88%; ✓ Same area: Borivali East; ✓ Same developer: Ekta World; ✓ Same coordinates (0.0km apart),flag,pending
,Dosti West County - Dosti Cedar,Thane West,,Dosti West County Olive,Thane West,88,~ Moderate name similarity 81%; ✓ Same area: Thane West; ✓ Same developer: Dosti Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Dosti West County Heron,Thane West,,Dosti West County Olive,Thane West,88,~ Moderate name similarity 83%; ✓ Same area: Thane West; ✓ Same developer: Dosti Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Silver Apartment,Prabhadevi,,Silver Dune,Prabhadevi,85,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Alta Monte,Malad East,,Alta Monte Tower B,Malad East,85,✓ High name similarity 91%; ✓ Same area: Malad East; ✓ Same coordinates (0.0km apart),flag,pending
,Alta Monte,Malad East,,Altamonte,Malad East,85,✓ High name similarity 95%; ✓ Same area: Malad East; ✓ Same coordinates (0.0km apart),flag,pending
,Juhu Ankur,Juhu,,Juhu Apartment,Juhu,85,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),flag,pending
,Juhu Apartment,Juhu,,Juhu Jivan,Juhu,85,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),flag,pending
,Juhu Apartment,Juhu,,Juhu Sagar,Juhu,85,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),flag,pending
,Kaatyayni Residency,Andheri East,,Katyani Residency,Andheri East,85,✓ High name similarity 94%; ✓ Same area: Andheri East; ✓ Same coordinates (0.0km apart),flag,pending
,Kamal Apartment,Andheri West,,Kamaldutt,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Kakad Apartment,Bandra West,,Kakad Bhavan,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Lotus Enpar,Lower Parel,,Lotus Enpar - Worli,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,Prim Rose,Andheri West,,Prime Rose,Andheri West,85,✓ High name similarity 95%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Prim Rose,Andheri West,,Primrose Tower,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Primordial House,Grant Road,,Promordial House,Grant Road,85,✓ High name similarity 94%; ✓ Same area: Grant Road; ✓ Same coordinates (0.0km apart),flag,pending
,Prakash,Santacruz West,,Prakash Villa,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Puranik City,Thane West,,Puranik City Reserva,Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Veena Santoor,Kandivali West,,Veena Santoor 2,Kandivali West,85,✓ High name similarity 93%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart),flag,pending
,Venus,Worli,,Venus Apartments,Worli,85,✓ High name similarity 91%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Link Apartment,Khar West,,Linkway,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Morya Landmark,Andheri West,,Morya Landmark I,Andheri West,85,✓ High name similarity 93%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Morya Landmark,Andheri West,,Morya Landmark II,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Mona Lisa,Bandra West,,Monalisa,Bandra West,85,✓ High name similarity 94%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Mooring,Bandra West,,Moorings,Bandra West,85,✓ High name similarity 93%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Moti Mahal,Bandra West,,Moti Mahal Apex,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Monte South,Byculla,,Monte South Tower 2,Byculla,85,✓ High name similarity 92%; ✓ Same area: Byculla; ✓ Same coordinates (0.0km apart),flag,pending
,Mohini Castel,Khar West,,Mohini Castle,Khar West,85,✓ High name similarity 92%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Mohini Castel,Khar West,,Mohini Tower,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Mohini Castle,Khar West,,Mohini Tower,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Mohini Heights,Khar West,,Mohini Tower,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Casa Divine,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Grandeur,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Heights,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Life,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Park,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Pristine,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Prive,Andheri West,,Platinum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Platinum Tower,Andheri West,,Platinum Tower 1,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Regency Heights,Thane West,,Regency Tower,Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Acme Amay,Goregaon East,,"Acme Amay, Churiwadi",Goregaon East,85,✓ High name similarity 90%; ✓ Same area: Goregaon East; ✓ Same coordinates (0.0km apart),flag,pending
,Arista,Bandra East,,Arista Prime,Bandra East,85,✓ High name similarity 90%; ✓ Same area: Bandra East; ✓ Same coordinates (0.0km apart),flag,pending
,Ashmita,Khar West,,Asmita,Khar West,85,✓ High name similarity 92%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Atlantis,Andheri West,,Atlantis Apartments,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Atmosphere,Mulund West,,Atmosphere 02,Mulund West,85,✓ High name similarity 90%; ✓ Same area: Mulund West; ✓ Same coordinates (0.0km apart),flag,pending
,Atlanta,Prabhadevi,,Atlanta Heights,Prabhadevi,85,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Avighna,Lower Parel,,Avighna 9,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,Avanti,Santacruz West,,Avanti Society,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Avarsekar Heights,Worli,,Aversekar Heights,Worli,85,✓ High name similarity 94%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Bay View,Andheri West,,Bayview,Andheri West,85,✓ High name similarity 93%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Blue Orbit,Malad West,,Blue Orbit 3,Malad West,85,✓ High name similarity 91%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Breach Candy 1.5,Breach Candy,,Breach Candy Apartment,Breach Candy,85,✓ High name similarity 90%; ✓ Same area: Breach Candy; ✓ Same coordinates (0.0km apart),flag,pending
,Breach Candy Apartment,Breach Candy,,Breach Candy Gardens,Breach Candy,85,✓ High name similarity 90%; ✓ Same area: Breach Candy; ✓ Same coordinates (0.0km apart),flag,pending
,Breach Candy Apartment,Breach Candy,,Breach Candy House,Breach Candy,85,✓ High name similarity 90%; ✓ Same area: Breach Candy; ✓ Same coordinates (0.0km apart),flag,pending
,Cannon,Bandra West,,Cannon Bldg,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Char Dham,Bandra West,,Chardham,Bandra West,85,✓ High name similarity 94%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,City Of Joy,Mulund West,,City Of Joy II,Mulund West,85,✓ High name similarity 90%; ✓ Same area: Mulund West; ✓ Same coordinates (0.0km apart),flag,pending
,Crystal,Andheri East,,Crystal Plaza,Andheri East,85,✓ High name similarity 90%; ✓ Same area: Andheri East; ✓ Same coordinates (0.0km apart),flag,pending
,Creek Crest,Andheri West,,Crest Apartment,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Crest Apartment,Andheri West,,Crest Audeus,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Crest Apartment,Andheri West,,Crest Mukta,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Crescent Aria,Tardeo,,Crescent Tower,Tardeo,85,✓ High name similarity 90%; ✓ Same area: Tardeo; ✓ Same coordinates (0.0km apart),flag,pending
,Crescent Heights,Tardeo,,Crescent Tower,Tardeo,85,✓ High name similarity 90%; ✓ Same area: Tardeo; ✓ Same coordinates (0.0km apart),flag,pending
,Evergreen,Bandra West,,Evergreen Turner,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Acres,Andheri West,,Green Crest,Andheri West,85,✓ High name similarity 91%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Acres,Andheri West,,Green Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Blaze,Andheri West,,Green Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Court,Andheri West,,Green Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Crest,Andheri West,,Green Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Tower,Andheri West,,Green Ville,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Ville,Andheri West,,Grenville,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Green Field,Juhu,,Green Field Society,Juhu,85,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),flag,pending
,Green Field,Juhu,,Green Fields Society,Juhu,85,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),flag,pending
,Gurukripa Dhyanam,Andheri West,,Gurukrupa Dhayanam,Andheri West,85,✓ High name similarity 91%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Gurukripa Dhyanam,Andheri West,,Gurukrupa Dhyanam,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Hill View,Bandra West,,Hill View Bldg,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Jolly Maker,Cuffe Parade,,Jolly Maker I,Cuffe Parade,85,✓ High name similarity 92%; ✓ Same area: Cuffe Parade; ✓ Same coordinates (0.0km apart),flag,pending
,Magnum Opus,Andheri West,,Magnum Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Man Dune,Bandra West,,Man Dunes,Bandra West,85,✓ High name similarity 94%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Mayuresh Srishti,Bhandup West,,Mayuresh Srishti Park,Bhandup West,85,✓ High name similarity 90%; ✓ Same area: Bhandup West; ✓ Same coordinates (0.0km apart),flag,pending
,Maker Tower,Cuffe Parade,,Maker Tower - B,Cuffe Parade,85,✓ High name similarity 90%; ✓ Same area: Cuffe Parade; ✓ Same coordinates (0.0km apart),flag,pending
,Maker Tower,Cuffe Parade,,Maker Tower J,Cuffe Parade,85,✓ High name similarity 90%; ✓ Same area: Cuffe Parade; ✓ Same coordinates (0.0km apart),flag,pending
,Mayfair Apartment,Khar West,,Mayfair Liv,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Mayfair Apartment,Khar West,,Mayfair Muse,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Mayfair Apartment,Khar West,,Mayfair Villa,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Malad West – Gurukrupa Marina Enclave,Malad West,,Marina Enclave,Malad West,85,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Manas Rangoli,Santacruz West,,Manas Rangoli Residency,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Marigold,Thane West,,Marigold Tulip,Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Madhuban,Worli,,Madhuban Apartments,Worli,85,✓ High name similarity 94%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Mittal Court,Nariman Point,,Mittal Tower,Nariman Point,85,✓ High name similarity 90%; ✓ Same area: Nariman Point; ✓ Same coordinates (0.0km apart),flag,pending
,Navjeevan Society,Mumbai Central,,Navjivan Society,Mumbai Central,85,✓ High name similarity 91%; ✓ Same area: Mumbai Central; ✓ Same coordinates (0.0km apart),flag,pending
,Nibbana,Bandra West,,Nibbana Annex,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Nibbana,Bandra West,,Nibbana Annexe,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Nishant,Malabar Hill,,Nishat,Malabar Hill,85,✓ High name similarity 92%; ✓ Same area: Malabar Hill; ✓ Same coordinates (0.0km apart),flag,pending
,Om Sai,Thane West,,Om Sai Plaza,Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Opal Square,Thane West,,"Opal Square, Wagle Estate",Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Paradigm Antalia,Andheri West,,Paradigm Antalya,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Parinee,Andheri West,,Parinee I,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Parinee,Andheri West,,Parinee-I,Andheri West,85,✓ High name similarity 93%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Parinee I,Andheri West,,Parinee-I,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Park Plaza,Andheri West,,Park,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Pali Hill Apartment,Bandra West,,Pali Hill Niketan,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Panchsheel,Kandivali West,,Panchsheel Garden,Kandivali West,85,✓ High name similarity 90%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart),flag,pending
,Panchsheel,Kandivali West,,Panchsheel Height,Kandivali West,85,✓ High name similarity 90%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart),flag,pending
,Palacia,Thane West,,Palacia Phase 2,Thane West,85,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Pearl Residency,Prabhadevi,,"Pearl Residency , Prabhadevi",Prabhadevi,85,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Powai Vihar,Powai,,Powai Vihar Complex,Powai,85,✓ High name similarity 90%; ✓ Same area: Powai; ✓ Same coordinates (0.0km apart),flag,pending
,Poonam Apartment,Worli,,Poonam Chambers,Worli,85,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,RNA Aurovilla,Santacruz West,,RNA Auroville,Santacruz West,85,✓ High name similarity 92%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,RNA Miraj,Worli,,RNA Miraj - Worli,Worli,85,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Ram Bhavan,Khar West,,Ram Bhuvan,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Rashid Mansion,Worli,,Rashid Mension,Worli,85,✓ High name similarity 93%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Royal Heritage,Andheri West,,Royale Herritage,Andheri West,85,✓ High name similarity 93%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Rushab Tower,Sewri,,Rushabh Tower,Sewri,85,✓ High name similarity 92%; ✓ Same area: Sewri; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samarth Angan,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samarth Deep,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samarth Vaibhav,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samartha Aangan,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samartha Ashish,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samartha Deep,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth,Andheri West,,Samartha Siddhi,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Samarth Angan,Andheri West,,Samartha Aangan,Andheri West,85,✓ High name similarity 93%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Sarita,Bandra West,,Sarita Apartments,Bandra West,85,✓ High name similarity 92%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Sagar Apartment,Khar West,,Satnam Sagar,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Sahil Exotica,Powai,,Sahil Exotica Chandivali,Powai,85,✓ High name similarity 90%; ✓ Same area: Powai; ✓ Same coordinates (0.0km apart),flag,pending
,Sagar Avenue,Santacruz East,,Sagar Avenue II,Santacruz East,85,✓ High name similarity 90%; ✓ Same area: Santacruz East; ✓ Same coordinates (0.0km apart),flag,pending
,Serenity Complex,Andheri West,,Serenity Tower,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Shanti Tower,Andheri West,,Shantivan CHS,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Sheffield Tower,Andheri West,,Shefield Tower,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
