entity_type,name,parent_type,parent_name
landmark,Dadar Station,micro_market,Dadar West
landmark,Shivaji Park,micro_market,Dadar West
landmark,Khar Station,micro_market,Khar West
landmark,Siddhivinayak Temple,micro_market,Prabhadevi
landmark,Infinity Mall,micro_market,Andheri West
landmark,Juhu Beach,micro_market,Juhu
landmark,IIT Bombay,micro_market,Powai
landmark,Thane Station,micro_market,Thane West
landmark,Lokhandwala Complex,micro_market,Andheri West
landmark,Oberoi Mall,micro_market,Goregaon East
landmark,Versova Beach,micro_market,Versova
landmark,Gateway of India,micro_market,South Mumbai Prime
landmark,Bandra Bandstand,micro_market,Bandra West
landmark,R City Mall,micro_market,Ghatkopar West
landmark,Viviana Mall,micro_market,Thane West
landmark,Vashi Station,micro_market,Navi Mumbai
landmark,Taj Mahal Palace,micro_market,South Mumbai Prime
landmark,Taj Lands End,micro_market,Bandra West
landmark,Juhu Circle,micro_market,Juhu
landmark,ISKCON Temple Juhu,micro_market,Juhu
landmark,Seawoods Grand Central Mall,micro_market,Navi Mumbai
landmark,Palm Beach Road,micro_market,Navi Mumbai
landmark,Bandra Fort,micro_market,Bandra West
landmark,Korum Mall,micro_market,Thane West
landmark,Upvan Lake,micro_market,Thane West
zone,South Mumbai,city,Mumbai
zone,Western Suburbs,city,Mumbai
zone,Eastern Suburbs,city,Mumbai
zone,Navi Mumbai,city,Mumbai
zone,Thane,city,Mumbai
city,Mumbai,,
